Host,Interface,"Avg Inbound MB","Max Inbound MB",Time,Status
Galaxy-CRM,"Interface eth0: Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
Galaxytime,"Interface eth0: Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
GalaxyCloud-Internal_DNS_SRV,"Interface eth0: Bits received",7468.47,129866,"2025-04-08 06:30:00",Anomaly
galaxy-zabbix-srv-cloud,"Interface eth0: Bits received",94666.43,3162336,"2025-04-10 06:30:00",Anomaly
Galaxy-CRM,"Interface eth0: Bits received",43302.30,687706,"2025-04-01 16:30:00",Anomaly
Galaxytime,"Interface eth0: Bits received",15140.43,188676,"2025-04-08 16:30:00",Anomaly
tallyserver2019,"Interface Microsoft Hyper-V Network Adapter(Ethernet): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
tallyserver2019,"Interface Microsoft Hyper-V Network Adapter(Ethernet): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
tallyserver2019,"Interface Microsoft Hyper-V Network Adapter(Ethernet): Bits received",38742.97,344217,"2025-04-11 08:30:00",Anomaly
INTEGRITY,"Interface Intel(R) Ethernet 10G X710 rNDC(NIC2): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet 10G X710 rNDC(NIC2): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet 10G X710 rNDC(NIC2): Bits received",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710 #2(SLOT 1 Port 2): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710 #2(SLOT 1 Port 2): Inbound packets with errors",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Ethernet Converged Network Adapter X710 #2(SLOT 1 Port 2): Bits received",0.00,0,"2025-04-16 11:30:00",Normal
INTEGRITY,"Interface Intel(R) Gigabit 4P X710/I350 rNDC #2(NIC4): Inbound packets discarded",0.00,0,"2025-04-16 11:30:00",Normal
